Site Name,Site Address,Town,State,Postcode,24 Hours,98 Octane,Diesel,LPG,E10,Shell Low Aromatic,95 Octane,98 Octane,Premium Diesel,Diesel E10,Adblue At the  Pump,"Adblue 
10L",Truckstop,Carwash,Toilets,Latitude,Longitude
COLES EXPRESS AVALON,CNR AVALON PDE & BARRENJOEY RD,AVALON,NSW,2107,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.63684708,151.3303274
COLES EXPRESS BALACLAVA,192 OLD HUME HWY,MITTAGONG,NSW,2575,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,-34.44784791,150.4384237
COLES EXPRESS BASS HILL,884-888 HUME HWY (CNR STRICKLAND ST),BASS HILL,NSW,2197,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.90010258,150.9976945
COLES EXPRESS BATEHAVEN,198 BEACH ROAD,BATEHAVEN,NSW,2536,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-35.72672815,150.1944973
COLES EXPRESS BATHURST,59 DURHAM STREET,BATHURST,NSW,2795,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,Y,Y,-33.41640437,149.5839593
COLES EXPRESS BATHURST WEST,298 STEWART ST (CNR ROCKET ST),BATHURST,NSW,2795,Y,Y,Y,N,Y,N,N,Y,N,N,N,Y,N,N,Y,-33.41906087,149.5671343
COLES EXPRESS BAULKHAM HILLS,CNR WINDSOR RD & OLIVE ST,BAULKHAM HILLS,NSW,2153,N,Y,N,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,-33.76020708,150.9910667
COLES EXPRESS BELMONT MAUDE (NSW),CNR PACIFIC HWY & MAUDE ST,BELMONT,NSW,2280,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,N,-33.03352374,151.6609366
COLES EXPRESS BELMONT SOUTH (NSW),797 PACIFIC HWY,BELMONT SOUTH,NSW,2280,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.05079681,151.6551558
COLES EXPRESS BERKSHIRE PARK,LOT 33 RICHMOND ROAD,BERKSHIRE PARK,NSW,2765,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.67045784,150.8018604
COLES EXPRESS BEROWRA,955 PACIFIC HWY,BEROWRA,NSW,2081,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.62817752,151.1475753
COLES EXPRESS BEXLEY,306-312 FOREST ROAD,BEXLEY,NSW,2205,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.9461558,151.1282109
COLES EXPRESS BLACKTOWN,132-136 SUNNYHOLT ROAD,BLACKTOWN,NSW,2148,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,-33.75387873,150.9146174
COLES EXPRESS BLAXLAND,126 GREAT WESTERN HIGHWAY,BLAXLAND,NSW,2774,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.74484373,150.6106989
COLES EXPRESS BOGGABILLA,NEWELL HIGHWAY,BOGGABILLA,NSW,2409,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,-28.6223364,150.362392
COLES EXPRESS BONDI JUNCTION,120-138 BIRRELL STREET,BONDI JUNCTION,NSW,2022,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.89598641,151.2499074
COLES EXPRESS BOWRAL,CNR BONG BONG ST & BOWRAL ST,BOWRAL,NSW,2576,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-34.51721649,150.4028482
COLES EXPRESS BRIGHTON-LE-SANDS,2 GENERAL HOLMES DRIVE,BRIGHTON-LE-SANDS,NSW,2216,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.95775695,151.1575102
COLES EXPRESS BROADMEADOW,2 BRUNKER RD,BROADMEADOW,NSW,2292,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-32.92451308,151.7363308
COLES EXPRESS BROKEN HILL,164 WILLIAM STREET,BROKEN HILL,NSW,2880,Y,N,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,-31.95173039,141.4539629
COLES EXPRESS BROOKVALE,CNR WINBOURNE RD & HARBORD RD,BROOKVALE,NSW,2100,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.76306448,151.2799414
