Site Name,Site Address,Town,State,Postcode,24 Hours,98 Octane,Diesel,LPG,E10,Shell Low Aromatic,95 Octane,98 Octane,Premium Diesel,Diesel E10,Adblue At the  Pump,"Adblue 
10L",Truckstop,Carwash,Toilets,Latitude,Longitude
COLES EXPRESS MOREE,CNR BALO ST & GWYDIR ST,MOREE,NSW,2400,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,-29.46046907,149.8415864
COLES EXPRESS MOSS VALE,CNR ARGYLE & YARRAWA STS,MOSS VALE,NSW,2577,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-34.55341449,150.3645719
COLES EXPRESS MOTTO FARM,290 PACIFIC HWY,MOTTO FARM,NSW,2324,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,-32.62490816,151.9345589
COLES EXPRESS MOUNT ANNAN,241 WATERWORTH DRIVE,Mt Annan,NSW,2567,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,-34.04942563,150.7601626
COLES EXPRESS MUDGEE,CNR CHURCH ST & MORTIMER ST,MUDGEE,NSW,2850,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,-32.59246038,149.5834085
COLES EXPRESS MUSWELLBROOK,148 BRIDGE STREET (CNR HILL ST),MUSWELLBROOK,NSW,2333,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,-32.26125792,150.8892285
COLES EXPRESS NARELLAN,293 CAMDEN VALLEY HWY (CNR GRAHAMS HILL RD),NARELLAN,NSW,2567,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-34.03835931,150.7307551
COLES EXPRESS NARRABEEN,1418 PITTWATER RD,NARRABEEN,NSW,2101,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,-33.70032732,151.299927
COLES EXPRESS NARRANDERA,CNR AUDLEY ST & CADDELL ST,NARRANDERA,NSW,2700,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-34.74789872,146.5503644
COLES EXPRESS NELSON BAY,23 STOCKTON ST,NELSON BAY,NSW,2315,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-32.72209015,152.1434975
COLES EXPRESS NEUTRAL BAY,CNR BEN BOYD RD & ERNEST ST,NEUTRAL BAY,NSW,2089,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.82897493,151.2197667
COLES EXPRESS NORTH RYDE,275 LANE COVE RD,NORTH RYDE,NSW,2113,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.78499023,151.1290209
COLES EXPRESS NORTH RYDE WICKS,96 WICKS ROAD,NORTH RYDE,NSW,2113,N,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.79417451,151.1266741
COLES EXPRESS NORTHMEAD,197 WINDSOR ROAD,NORTHMEAD,NSW,2152,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.77740478,151.0001829
COLES EXPRESS NORTHMEAD BRIENS,100 BRIENS ROAD,NORTHMEAD,NSW,2152,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.79597972,150.9895233
COLES EXPRESS NORWEST BUSINESS PARK,4 CENTURY CIRCUIT,BAULKHAM HILLS,NSW,2153,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.73299816,150.9625076
COLES EXPRESS NOWRA,CNR KINGHORN ST & WORRIGEE ST,NOWRA,NSW,2541,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-35.01628814,150.8147357
COLES EXPRESS OAK FLATS,LOT 2 LAKE ENTRANCE ROAD,OAK FLATS,NSW,2529,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-34.57068995,150.8226249
COLES EXPRESS ORANGE,CNR SUMMER ST & SALE ST,ORANGE,NSW,2800,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,-33.2830176,149.0962901
COLES EXPRESS OURIMBAH,CNR PACIFIC HIGHWAY AND OURIMBAH CRK RD,OURIMBAH,NSW,2258,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,-33.34896359,151.3694738
COLES EXPRESS OYSTER BAY,26-28 GEORGES RIVER RD (CNR CARVERS RD),OYSTER BAY,NSW,2225,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-34.01282652,151.0770982
COLES EXPRESS PADSTOW.,19 DAVIES ROAD,PADSTOW,NSW,2211,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.94825345,151.0378828
COLES EXPRESS PAGEWOOD,299 BUNNERONG ROAD,PAGEWOOD,NSW,2035,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.94050261,151.2283059
COLES EXPRESS PARKLEA,484 SUNNYHOLT ROAD,PARKLEA,NSW,2768,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.73061113,150.921581
COLES EXPRESS PARRAMATTA,88 VICTORIA RD (CNR BULLER ST),PARRAMATTA,NSW,2150,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,-33.80891822,151.0122322
COLES EXPRESS PENNANT HILLS EAST,371 PENNANT HILLS RD,PENNANT HILLS,NSW,2120,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,-33.73895566,151.0737585
COLES EXPRESS PENNANT HILLS WEST,386 PENNANT HILLS RD,PENNANT HILLS,NSW,2120,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,-33.73907502,151.0680599
COLES EXPRESS PICTON,93-99 ARGYLE STREET,PICTON,NSW,2571,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,-34.16840871,150.6118503
COLES EXPRESS PORT MACQUARIE,GORDAN & HOLLINGSWORTH STS,PORT MACQUARIE,NSW,2444,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-31.43126689,152.9081339
COLES EXPRESS PYMBLE,21 RYDE RD,PYMBLE,NSW,2073,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.75198477,151.1438141
COLES EXPRESS RAMSGATE,274-276 GRAND PARADE (CNR RAMSGATE RD),RAMSGATE,NSW,2217,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.98575368,151.1474462
COLES EXPRESS RANDWICK ALISON RD,54 ALISON ROAD,RANDWICK,NSW,2031,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.90773936,151.2340056
COLES EXPRESS RANDWICK FRENCHMANS,CNR FRENCHMANS & CLOVELLY RD,RANDWICK,NSW,2031,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.90835229,151.2476599
COLES EXPRESS RAYMOND TERRACE,CNR PACIFIC HWY & KANGAROO ST,RAYMOND TERRACE,NSW,2324,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,-32.76104669,151.7487971
COLES EXPRESS ROBERTS ROAD EAST,9-11 ROBERTS ROAD,GREENACRE,NSW,2190,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.9016204,151.0649216
COLES EXPRESS ROBERTS ROAD WEST,74 ROBERTS ROAD,GREENACRE,NSW,2190,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,-33.89266032,151.0662888
COLES EXPRESS ROSE BAY,777 NEW SOUTH HEAD ROAD,ROSE BAY,NSW,2029,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.87060017,151.2689416
COLES EXPRESS ROUSE HILL,43 PANMURE RD (CNR WINDSOR ROAD),ROUSE HILL,NSW,2155,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.68300795,150.9168354
COLES EXPRESS RUTHERFORD,118 NEW ENGLAND HWY,RUTHERFORD,NSW,2320,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-32.72062581,151.539532
COLES EXPRESS RYDE,CNR LANE COVE RD & MYRA AVE,RYDE,NSW,2112,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.80728572,151.1095368
COLES EXPRESS SCONE,91-93 KELLY ST,SCONE,NSW,2337,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-32.047159,150.8676342
COLES EXPRESS SINGLETON (NSW),69-73 GEORGE ST,SINGLETON,NSW,2330,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-32.56304589,151.1757806
COLES EXPRESS SMITHFIELD - NSW,227 SMITHFIELD ROAD (CNR THE HORSELY DRIVE),SMITHFIELD,NSW,2164,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,Y,-33.85355722,150.9408706
COLES EXPRESS SOUTH HURSTVILLE,835 KING GEORGES ROAD,SOUTH HURSTVILLE,NSW,2221,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.97878868,151.1053004
COLES EXPRESS ST CLAIR,CNR MAMRE ROAD & BANKS DRIVE,ST CLAIR,NSW,2759,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.78827516,150.7703645
COLES EXPRESS ST HELENS PARK,LOT 201 APPIN ROAD,ST HELENS PARK,NSW,2560,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-34.11197241,150.7989669
COLES EXPRESS ST IVES,179-181 MONA VALE RD,ST IVES,NSW,2075,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.73126633,151.1576086
COLES EXPRESS STANMORE,308-310 PARRAMATTA ROAD,STANMORE,NSW,2048,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.88847687,151.1643716
COLES EXPRESS STRATHFIELD,CNR RAW SQUARE & ALBERT RD,STRATHFIELD,NSW,2135,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.87133527,151.0921843
COLES EXPRESS SUTTON FOREST EAST,HUME HIGHWAY,SUTTON FOREST,NSW,2577,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,-34.56894867,150.2542305
COLES EXPRESS SUTTON FOREST WEST,HUME HIGHWAY,SUTTON FOREST,NSW,2577,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,-34.56894863,150.2542328
COLES EXPRESS TAMWORTH,251-253 GOONOO GOONOO RD,TAMWORTH,NSW,2340,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,N,Y,-31.11189417,150.9228241
COLES EXPRESS TAMWORTH WEST,147-152 BRIDGE ST,TAMWORTH WEST,NSW,2340,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,-31.09356172,150.918236
COLES EXPRESS TAREE,59-63 VICTORIA ST,TAREE,NSW,2430,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,Y,-31.9105581,152.4651461
COLES EXPRESS TAREN POINT,CNR TAREN POINT RD & PARRAWEENA R,TAREN POINT,NSW,2229,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-34.02655188,151.1204968
COLES EXPRESS TERRIGAL,CNR TERRIGAL DR & BELLBIRD AVE,TERRIGAL,NSW,2260,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.43993993,151.4336939
COLES EXPRESS THORNLEIGH,188-190 PENNANT HILLS RD,THORNLEIGH,NSW,2120,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,Y,-33.72481088,151.0852572
COLES EXPRESS TOCUMWAL,DEAN & HILL STREETS,TOCUMWAL,NSW,2714,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,-35.80840435,145.5596487
COLES EXPRESS TUMUT,SNOWY MOUNTAINS HWY,TUMUT,NSW,2720,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,-35.32877903,148.2375715
COLES EXPRESS TWEED HEADS,FRANCES & WHARF STS,TWEED HEADS,NSW,2485,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,-28.1755168,153.5419187
COLES EXPRESS TWEED HEADS SOUTH,71 MINJUNGBAL DRIVE,TWEED HEADS SOUTH,NSW,2486,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,-28.19441617,153.5422598
COLES EXPRESS ULLADULLA,153 PRINCES HIGHWAY,ULLADULLA,NSW,2539,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-35.36295147,150.4727087
COLES EXPRESS ULTIMO,387 WATTLE (CNR KELLY ST),ULTIMO,NSW,2007,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,-33.88158717,151.1971747
COLES EXPRESS UMINA,1-3 SYDNEY AVE,UMINA,NSW,2257,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.52140214,151.3161213
COLES EXPRESS WAGGA WAGGA,357-361 EDWARD ST,WAGGA WAGGA,NSW,2650,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,-35.11435372,147.3497564
COLES EXPRESS WAHROONGA,CNR PACIFIC HWY & COONANBARRA RD,WAHROONGA,NSW,2076,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.719569,151.1158965
COLES EXPRESS WALLSEND EAST,15 THOMAS ST (CNR BROOK ST),WALLSEND,NSW,2287,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-32.90674537,151.6696048
COLES EXPRESS WALLSEND WEST,14 THOMAS ST,WALLSEND,NSW,2287,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-32.90665514,151.6688879
COLES EXPRESS WARRAWONG,26-30 KING STREET,WARRAWONG,NSW,2502,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,-34.48294745,150.8869544
COLES EXPRESS WATERLOO,867-877 SOUTH DOWLING STREET,WATERLOO,NSW,2017,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,Y,-33.9025604,151.2145276
COLES EXPRESS WATTLE GROVE,115 HEATHCOTE RD,WATTLE GROVE,NSW,2173,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,-33.95698323,150.9530233
COLES EXPRESS WAUCHOPE,64 HIGH STREET,WAUCHOPE,NSW,2446,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,-31.45771352,152.7312923
COLES EXPRESS WEST DUBBO,CNR WHYLANDRA ST & VICTORIA ST,DUBBO,NSW,2830,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,-32.24621775,148.5907264
COLES EXPRESS WEST RYDE,1032-1036 VICTORIA RD,WEST RYDE,NSW,2114,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.8071904,151.0850736
COLES EXPRESS WETHERILL PARK ELIZABETH,CNR VICTORIA & ELIZABETH STREET,WETHERILL PARK,NSW,2164,N,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,N,N,-33.84549896,150.9001269
COLES EXPRESS WETHERILL PARK POLDING,565 POLDING STREET,WETHERILL PARK,NSW,2164,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.85656363,150.8981167
COLES EXPRESS WILLOUGHBY,616-626 WILLOUGHBY RD,WILLOUGHBY,NSW,2068,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.80593494,151.1988581
COLES EXPRESS WOLLONGONG,142-148 CORRIMAL STREET,WOLLONGONG,NSW,2500,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-34.42912341,150.89909
COLES EXPRESS WOLLONGONG WEST,434 CROWN ST,WOLLONGONG,NSW,2500,N,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,Y,-34.42508966,150.8735422
COLES EXPRESS WOOLGOOLGA,PACIFIC HIGHWAY,WOOLGOOLGA,NSW,2456,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,-30.09602967,153.1878683
COLES EXPRESS WOOLLOOMOOLOO,57 COWPER WHARF RD (CNR DOWLING ST),WOOLLOOMOOLOO,NSW,2011,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.86932189,151.2215642
COLES EXPRESS WOY WOY,CNR OCEAN BEACH RD & RAWSON ST,WOY WOY,NSW,2256,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.49320786,151.3179415
COLES EXPRESS WYALONG,MID WESTERN HWY,WYALONG,NSW,2671,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,-33.90812311,147.2920648
COLES EXPRESS YAGOONA,112 ROOKWOOD (CNR BRUNKER) RDS,YAGOONA,NSW,2199,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.89907545,151.0371918
COLES EXPRESS YALLAH,2 MACQUARIE PLACE,HAYWARDS BAY,NSW,2530,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,Y,-34.54127316,150.7856137
CONDOBOLIN AUTO PORT,118 BATHURST RD,CONDOBOLIN,NSW,2872,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,-33.08874104,147.1466801
COONAMBLE ROADHOUSE,121 DUBBO ROAD,COONAMBLE,NSW,2829,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,-31.15698045,148.4120988
COROWA SERVICE STATION,223 SANGER ST,COROWA,NSW,2646,N,N,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,-35.99524856,146.391252
DOCKER STREET AUTO PORT,81 DOCKER STREET,WAGGA WAGGA,NSW,2650,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,-35.11541746,147.357147
DUBBO CVRO,110 ERSKINE STREET,DUBBO,NSW,2830,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,-32.24415802,148.6121165
FIRELOCK FUELS MORUYA,5 PRINCES HIGHWAY,MORUYA,NSW,2537,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,-35.90530436,150.0817672
FREEMANS SERVICE STATION,FREEMANS DRIVE,FREEMANS WATERHOLE,NSW,2323,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,Y,-32.99562723,151.4690724
GLOUCESTER FUEL STOP,1 PARK STREET,GLOUCESTER,NSW,2422,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,-32.0057229,151.9581969
GOULBURN SERVICE CENTRE,1-3 SOWERBY STREET,GOULBURN,NSW,2580,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,-34.77379612,149.6912696
GULGONG AUTOMOTIVE,22 STATION ST,GULGONG,NSW,2852,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,-32.3570157,149.5354544
GUNNING MOTORS,56 YASS STREET,GUNNING,NSW,2581,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,-34.78074336,149.2688607
HELENSBURGH SERVICE STATION,149 PARKES ST,HELENSBURGH,NSW,2508,N,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,Y,-34.19239073,150.9777759
HOWELLS SERVICE STATION,57 PANGEE STREET,NYNGAN,NSW,2825,N,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,Y,-31.56163522,147.1926594
HOWLONG TRADING POST,150 HAWKINS ST,HOWLONG,NSW,2643,N,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,-35.98119523,146.6386813
INVERELL,208 BYRON STREET,Inverell,NSW,2360,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,-29.77062935,151.1156211
KENWAR MOTORS,16 PRINCES HIGHWAY,NAROOMA,NSW,2546,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,-36.21337974,150.1233073
"LACHLAN FERTILISERS, GRENFELL",39 ALEXANDRA STREEET,GRENFELL,NSW,2810,N,N,Y,N,Y,N,Y,Y,N,Y,N,N,Y,N,Y,-33.89333734,148.1568084
Medowie One Stop,26 FERODALE ROAD,Medowie,NSW,2318,N,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,Y,-32.74017105,151.8544359
MORISSET,50 ALLIANCE AVE,MORISSET,NSW,2264,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,N,Y,-33.11635876,151.4776058
MURRURUNDI ROADHOUSE,3 MAYNE ST,MURRURUNDI,NSW,2338,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,Y,-31.76585036,150.8429073
NARRABRI AUTO PORT,167 MAITLAND ST,NARRABRI,NSW,2390,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,Y,-30.32355769,149.782132
NARRABRI TRUCK STOP,NEWELL HIGHWAY,NARRABRI,NSW,2390,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,-30.25204988,149.8043891
NAUGHTONS PETROLEUM ON THE HWY,68 BATHURST ROAD,ORANGE,NSW,2800,N,N,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,N,-33.29072528,149.1094307
North Parkes Driveway,CNR WEBB ROAD & PEAK HILL ROAD,PARKES,NSW,2870,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,-33.11372529,148.1711213
NRMA URUNGA,63 PACIFIC HWY,URUNGA,NSW,2455,N,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,Y,-30.50188578,153.0124039
OLD BAR SERVICE CENTRE,OLD BAR RD,OLD BAR,NSW,2430,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,-31.96512127,152.5572755
OLYMPIC WAY SERVICE STATION,ILLABO ST,JUNEE,NSW,2663,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,-34.8551289,147.5864277
PAMBULA SERVICE STATION,39 QUONDOLA ST,PAMBULA,NSW,2549,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,-36.93105601,149.8746906
PRITCHARD SERVICE STATION,8 OGILVIE STREET,DENMAN,NSW,2328,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,-32.38977026,150.6889638
PYMONT BROS,CAMP ST,FORBES,NSW,2871,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,-33.38737791,148.010178
REGION SERVICE STATION,51-53 SHARP ST,COOMA,NSW,2630,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,-36.23290591,149.1295684
RIVER STREET SERVICE STATION,273 RIVER ST,BALLINA,NSW,2478,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,-28.86820254,153.5552534
RIVERVIEW SERVICE CENTRE,595 OCEAN DRIVE,NORTH HAVEN,NSW,2443,N,N,Y,N,N,N,Y,Y,N,N,N,N,Y,N,Y,-31.64065158,152.8156104
SAM & JOEL'S SERVICE CENTRE,16 DUBBO ROAD,WELLINGTON,NSW,2820,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,-32.26089134,148.6481215
SHELL ALLANDALE,36 WINE COUNTRY DVE,CESSNOCK,NSW,2325,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,-32.81878631,151.3520506
SHELL WINGHAM,24 MURRAY ROAD,Wingham,NSW,2429,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,-31.86868839,152.3620211
SHELL YETHOLME,3529 GREAT WESTERN HWY,YETHOLME,NSW,2795,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,Y,-33.44620606,149.8296632
SNOWLINE HOLIDAY PARK,KOSCIUSKO RD,JINDABYNE,NSW,2627,N,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,Y,-36.38133164,148.5713174
SOUTH WEST ROCKS AUTO PORT,158-162 GREGORY STREET,SOUTH WEST ROCKS,NSW,2431,N,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,Y,-30.89987501,153.040964
TALLAGANDA SERV STN,CNR LASCELLES ST & ELRINGTON ST,BRAIDWOOD,NSW,2622,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,-35.44636909,149.8016141
TAMARANG SERVICE CENTRE,STATION ST,QUIRINDI,NSW,2343,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,-31.50333098,150.6807881
TOLLAND AUTO PORT,229 BOURKE STREET,WAGGA WAGGA,NSW,2650,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,-35.14286116,147.3514236
TUROSS HEAD SERVICE STATION,"LOT 101, EVANS ROAD",TUROSS HEAD,NSW,2537,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,-36.06064663,150.1385526
WARIALDA,19 STEPHEN STREET,WARIALDA,NSW,2402,N,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,Y,-29.54224404,150.5746871
WEST END SERVICE STATION,FERGUSON ST & LAMBETH ST,GLEN INNES,NSW,2370,N,N,Y,N,N,N,Y,Y,N,N,N,N,Y,N,Y,-29.73424208,151.728586
WILTON PETROLEUM,1109 ARGYLE ST,WILTON,NSW,2571,Y,N,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,-34.24053474,150.6986021
WISEMANS FERRY SERVICE STATION,1 OLD NORTHERN RD,WISEMANS FERRY,NSW,2775,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,-33.38490882,150.9859664
AYRES ROCK RESORT,1 YULARA DRIVE,YULARA,NT,872,Y,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,-25.24404001,130.9849571
COLES EXPRESS ALICE SPRINGS GAP RD,1 GAP RD,ALICE SPRINGS,NT,870,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,-23.70531522,133.8804134
COLES EXPRESS ALICE SPRINGS MT GILLEN,LARAPINTA DRIVE,ALICE SPRINGS,NT,870,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,-23.90881113,132.683932
COLES EXPRESS ALICE SPRINGS TRUCK STOP,CNR DALGETY RD & LILBILI ST,ALICE SPRINGS,NT,870,N,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,-23.66783908,133.8661494
COLES EXPRESS CASUARINA (NT),TROWER & DRIPSTONE RDS,CASUARINA,NT,810,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,-12.37750187,130.8821358
COLES EXPRESS DARWIN CITY,37 DALY ST,DARWIN CITY,NT,800,Y,N,Y,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,-12.45488264,130.8386543
COLES EXPRESS FAIRWAY WATERS,130 UNIVERSITY ROAD,PALMERSTON,NT,830,Y,N,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,-12.48016007,130.9703698
COLES EXPRESS KATHERINE,KATHERINE TERRACE,KATHERINE,NT,850,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,-14.46571711,132.2637749
COLES EXPRESS NIGHTCLIFF,37 PROGRESS DRIVE,NIGHTCLIFF,NT,810,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,-12.38815621,130.8518363
COLES EXPRESS PALMERSTON,2 YARRAWONGA RD,PALMERSTON,NT,830,Y,N,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,-12.47335399,130.9837923
COLES EXPRESS WINNELLIE,380 STUART HIGHWAY,WINNELLIE,NT,821,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,-12.42602056,130.869073
DUNMARRA WAYSIDE INN,STUART HIGHWAY,DALY WATERS,NT,852,N,N,Y,N,N,N,N,Y,N,Y,N,N,Y,N,N,-16.25890166,133.3934593
