IIT_NE_ID,IIT_INV_TYPE,IIT_PRIMARY_KEY,IIT_ADMIN_UNIT,PLGR_ASSET_ID,PLGR_PARENT_ID,PLGR_NAME,PLGR_TYPE,CONTRACT_UNIT,PLGR_LOCATION,PLGR_UPGRADE
2588934,PLGR,PLGR277,18,PLGR277,UOS10257,,,WANNIASSA,WATKINS STREET,
2588935,PLGR,PLGR278,18,PLGR278,UOS12355,,,GORDON,MCGILVRAY CLOSE,
2588940,PLGR,PLGR279,18,PLGR279,UOS12310,,,GORDON,EVAN PLACE,
2588942,PLGR,PLGR28,18,PLGR28,UOS14083,,,CAMPBELL,COBBY STREET,
2588944,PLGR,PLGR280,18,PLGR280,UOS11366,,,ISABELLA PLAINS,FINDON PLACE,
2588947,PLGR,PLGR281,18,PLGR281,UOS11761,,,ISABELLA PLAINS,KEVERSTON CIRCUIT,
2588950,PLGR,PLGR282,18,PLGR282,UOS11637,,,ISABELLA PLAINS,YABTREE PLACE,
2588952,PLGR,PLGR283,18,PLGR283,UOS9065,,,KAMBAH,MANNEHEIM STREET,
2588956,PLGR,PLGR284,18,PLGR284,UOS9024,,,KAMBAH,GIBBS PLACE,
2588958,PLGR,PLGR285,18,PLGR285,UOS9015,,,KAMBAH,MARCONI CRESCENT,
2588960,PLGR,PLGR286,18,PLGR286,UOS8996,,,KAMBAH,LASCELLES CIRCUIT,
2588962,PLGR,PLGR287,18,PLGR287,UOS8957,,,KAMBAH,HASKETT STREET,
2588967,PLGR,PLGR288,18,PLGR288,UOS8967,,,KAMBAH,CRAFER PLACE,
2588968,PLGR,PLGR289,18,PLGR289,UOS9326,,,KAMBAH,HORTON CLOSE,
2588969,PLGR,PLGR29,18,PLGR29,UOS14255,,,CAMPBELL,WHITE CRESCENT,
2588970,PLGR,PLGR290,18,PLGR290,UOS9739,,,KAMBAH,TOOLE PLACE,
2588971,PLGR,PLGR291,18,PLGR291,UOS9277,,,KAMBAH,DEUCHAR CLOSE,
2588978,PLGR,PLGR292,18,PLGR292,UOS9519,,,KAMBAH,MCKILLOP PLACE,
2588980,PLGR,PLGR293,18,PLGR293,UOS9572,,,KAMBAH,VANZETTI CRESCENT,
2588983,PLGR,PLGR294,18,PLGR294,UOS9613,,,KAMBAH,CROUCH PLACE,
2588984,PLGR,PLGR295,18,PLGR295,UOS9291,,,KAMBAH,SUMMERLAND CIRCUIT,
2588987,PLGR,PLGR296,18,PLGR296,UOS9461,,,KAMBAH,MCLEOD PLACE,
2588988,PLGR,PLGR297,18,PLGR297,UOS9218,,,KAMBAH,DOHERTY PLACE,
2588989,PLGR,PLGR298,18,PLGR298,UOS9162,,,KAMBAH,BRIMAGE PLACE,
2588994,PLGR,PLGR299,18,PLGR299,UOS9236,,,KAMBAH,COGHILL CLOSE,
2588995,PLGR,PLGR3,18,PLGR3,UOS13634,,,AINSLIE,RUTHERFORD CRESCENT,
2588996,PLGR,PLGR30,18,PLGR30,UOS13821,,,BRADDON,LOWANNA STREET,
2588997,PLGR,PLGR300,18,PLGR300,UOS9384,,,KAMBAH,BODDINGTON CRESCENT,
2588999,PLGR,PLGR301,18,PLGR301,UOS9358,,,KAMBAH,BOUSTEAD CIRCUIT,
2589001,PLGR,PLGR302,18,PLGR302,UOS9867,,,KAMBAH,PINKERTON CIRCUIT,
2589003,PLGR,PLGR303,18,PLGR303,UOS9716,,,KAMBAH,ROUNSEVELL STREET,
2589005,PLGR,PLGR304,18,PLGR304,UOS9878,,,KAMBAH,DALE CIRCUIT,
2589007,PLGR,PLGR305,18,PLGR305,UOS9285,ADVENTURE PLAYGROUND,,KAMBAH,SPRINGBETT STREET,
2589008,PLGR,PLGR306,18,PLGR306,PUBP54,,,KAMBAH,PRIMMER COURT,
2589009,PLGR,PLGR307,18,PLGR307,UOS9154,,,KAMBAH,HUMBLE COURT,
2589011,PLGR,PLGR308,18,PLGR308,UOS9297,,,KAMBAH,MAXWORTHY STREET,
2589013,PLGR,PLGR309,18,PLGR309,UOS9443,,,KAMBAH,LIVINGSTON AVENUE,
2589015,PLGR,PLGR31,18,PLGR31,UOS14422,,,CITY,BARRUMBIR STREET GLEBE PARK,
2589019,PLGR,PLGR310,18,PLGR310,UOS9370,,,KAMBAH,OLDFILED CIRCUIT,
2589021,PLGR,PLGR311,18,PLGR311,UOS8858,,,KAMBAH,AMMON PLACE,
2589024,PLGR,PLGR312,18,PLGR312,UOS8929,,,KAMBAH,ALLCHIN CIRCUIT,
2589025,PLGR,PLGR313,18,PLGR313,UOS8970,,,KAMBAH,ATTIWELL CIRCUIT,
2589026,PLGR,PLGR314,18,PLGR314,UOS9001,,,KAMBAH,BARRIT STREET,
2589031,PLGR,PLGR315,18,PLGR315,UOS9057,,,KAMBAH,FAITHFULL CIRCUIT,
2589032,PLGR,PLGR317,18,PLGR317,UOS9134,,,KAMBAH,BULLOCK CIRCUIT - NEIGHBOURHOOD PARK,
2589033,PLGR,PLGR318,18,PLGR318,UOS9275,,,KAMBAH,KARNEY STREET,
2589034,PLGR,PLGR319,18,PLGR319,UOS11882,,,CALWELL,SAMUEL CLOSE,
2589035,PLGR,PLGR32,18,PLGR32,UOS13760,,,AINSLIE,ANGAS STREET,
2589037,PLGR,PLGR320,18,PLGR320,UOS11882,,,CALWELL,WERE STREET,
2589039,PLGR,PLGR321,18,PLGR321,UOS12043,,,CALWELL,CASEY CRESCENT,
2589042,PLGR,PLGR322,18,PLGR322,UOS11950,,,CALWELL,BECKETT STREET,
2589044,PLGR,PLGR323,18,PLGR323,UOS11865,,,CALWELL,MOUNTAIN CIRCUIT,
2589045,PLGR,PLGR324,18,PLGR324,PUBP71,,,CALWELL,WEBBER CRESCENT,
2589046,PLGR,PLGR325,18,PLGR325,UOS9565,,,KAMBAH,LEARMONTH DRIVE,
2589048,PLGR,PLGR326,18,PLGR326,UOS10126,,,MACARTHUR,MERRIMAN STREET,
2589053,PLGR,PLGR327,18,PLGR327,UOS10447,,,MACARTHUR,BAYLY PLACE,
2589056,PLGR,PLGR328,18,PLGR328,UOS10776,,,GOWRIE,JEFFRIES STREET,
2589058,PLGR,PLGR329,18,PLGR329,UOS10850,,,GOWRIE,HOWELL PLACE,
2589061,PLGR,PLGR33,18,PLGR33,UOS320,Senior Playground,,GUNGAHLIN,GUNDAROO DIRVE YERRABI POND DISTRICT PARK,
2589063,PLGR,PLGR330,18,PLGR330,UOS11038,,,GOWRIE,DALZIEL STREET,
2589065,PLGR,PLGR332,18,PLGR332,UOS10470,,,GOWRIE,INWOOD PLACE,
2589066,PLGR,PLGR333,18,PLGR333,UOS10454,,,GOWRIE,MIDDLETON CIRCUIT,
2589068,PLGR,PLGR334,18,PLGR334,UOS10469,,,GOWRIE,WRAY PLACE,
2589069,PLGR,PLGR335,18,PLGR335,UOS10542,,,GOWRIE,WEATHERS STREET,
2589071,PLGR,PLGR336,18,PLGR336,UOS7289,,,WESTON,MOLVIG STREET - NEIGHBOURHOOD PARK,
2589073,PLGR,PLGR337,18,PLGR337,UOS8158,,,FISHER,MOONTA PLACE - NEIGHBOURHOOD PARK,
2589075,PLGR,PLGR338,18,PLGR338,UOS8278,,,FISHER,ARALUEN STREET - NEIGHBOURHOOD PARK,
2589083,PLGR,PLGR339,18,PLGR339,UOS7481,,,GARRAN,DENNIS STREET - NEIGHBOURHOOD PARK,
2589084,PLGR,PLGR34,18,PLGR34,UOS320,Junior Playground,,GUNGAHLIN,GUNDAROO DIRVE YERRABI POND DISTRICT PARK,
2589085,PLGR,PLGR340,18,PLGR340,UOS7139,,,GARRAN,HENDERSON STREET - NEIGHBOURHOOD PARK,
2589087,PLGR,PLGR341,18,PLGR341,UOS6631,,,HUGHES,BRAND STREET - PEDESTRIAN PARKLAND,
2589089,PLGR,PLGR342,18,PLGR342,UOS6822,,,HUGHES,BISDEE STREET - NEIGHBOURHOOD PARK,
2589092,PLGR,PLGR343,18,PLGR343,UOS6871,,,HUGHES,MCNICOLL STREET - NEIGHBOURHOOD PARK,
2589094,PLGR,PLGR344,18,PLGR344,UOS6631,,,HUGHES,GOBLE STREET ,
2589097,PLGR,PLGR345,18,PLGR345,UOS8579,,,ISAACS,DUMOLO PLACE - NEIGHBOURHOOD PARK,
2589104,PLGR,PLGR347,18,PLGR347,UOS8774,,,ISAACS,ROWNTREE CRESCENT - NEIGHBOURHOOD PARK,
